Name,Alkoholisch,Farbe
Pink Melon Liqueuer,1,Null
Pisang Ambon,1,Null
Pisco Brandy,1,Null
Pistazienlikör,1,Null
Pitú,1,Null
Plum Brandy,1,Null
Poire Morand,1,Null
Poire William,1,Null
Poire William Liqueur,1,Null
Porter Bier,1,Null
Portwein,1,Null
Positana,1,Null
Pousse Rapière,1,Null
Praepositus,1,Null
Preiselbeerlikör,1,Null
Pricota,1,Null
Prinzenkirsch,1,Null
Prosecco,1,Null
Prunelle Brandy,1,Null
Prünell Likör,1,Null
Pulque,1,Null
Punt e Mes Carpano,1,Null
Pêcher Mignon,1,Null
Quebrada de Maracuja,1,Null
Quinquina,1,Null
Rabarbaro Zucca,1,Null
Ramazzotti,1,Null
Raspberry Brandy,1,Null
Rhabarberlikör,1,Null
Ricard,1,Null
Richard Löwenherz,1,Null
Rimara Mandaringeist,1,Null
Robert White,1,Null
Rock &amp; Rye Likör,1,Null
Roiano,1,Null
Rosso Antico,1,Null
Rosé Fontanafredda,1,Null
Rosé Wein,1,Null
Rotwein,1,Null
Royal Stock,1,Null
Rum,1,Null
Rum Likör Tropical,1,Null
Rumona,1,Null
Rumtopf,1,Null
Rye Whisky,1,Null
Römerkirsch Liqueur,1,Null
Sabra,1,Null
Safari Likör,1,Null
"Sahnelikör, irischer",1,Null
Saké,1,Null
Sambuca,1,Null
Samos Wein,1,Null
Sangria Mix,1,Null
Santa Cruz Liqueur,1,Null
Saurer Apfel,1,Null
Schankbier,1,Null
Schaumwein,1,Null
Schierker Feuerstein,1,Null
Schoko-Pfefferminz-Likör,1,Null
Schokoladenlikör,1,Null
Schwarzer Kater,1,Null
Schwedenpunsch,1,Null
Sciarada,1,Null
Scotch Whisky,1,Null
Sechsämtertropfen,1,Null
Sekt,1,Null
Select,1,Null
Senor Pico K.la Té M,1,Null
Seven Fruits Liqueur,1,Null
Sheridan´s,1,Null
Sherry,1,Null
Slivowitz,1,Null
Sloe Gin,1,Null
Solado Likör,1,Null
Sour Apple,1,Null
Southern Comfort,1,Null
Spirituose nach Wahl,1,Null
Spumante brut,1,Null
St.Raphaël,1,Null
Stachelbeerlikör,1,Null
Steinhäger,1,Null
Steirisch-Kaffee-Mis,1,Null
Stout Bier,1,Null
Strega,1,Null
Suze,1,Null
Südsee Amazone,1,Null
Tequila,1,Null
Tia Maria,1,Null
Tiffin Teelikör,1,Null
Tokaya Wein,1,Null
Trester,1,Null
Trojka,1,Null
Tropic Likör,1,Null
Tuaca Liqueur,1,Null
Underberg,1,Null
Unicum,1,Null
Van der Hum,1,Null
Vandermint,1,Null
Vanille de Madagascar,1,Null
Vanillelikör,1,Null
Vermouth,1,Null
Vervaine du Velay,1,Null
Vielle Cure,1,Null
Viennese Café,1,Null
Vodka,1,Null
Vodka Blackcurrant,1,Null
Vodka Cranberry,1,Null
Vodka Lime,1,Null
Vodka Vanilla,1,Null
